neighbourhood_cleansed,room_type,minimum_nights,count,mean,std,min,25%,50%,75%,max,mode
Amager st,Private room,20,1.0,2000.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
Amager st,Private room,28,1.0,255.0,,255.0,255.0,255.0,255.0,255.0,255.0
Amager st,Private room,30,1.0,275.0,,275.0,275.0,275.0,275.0,275.0,275.0
Amager st,Private room,31,4.0,321.25,88.16414615174735,250.0,280.0,292.5,333.75,450.0,250.0
Amager st,Private room,45,1.0,135.0,,135.0,135.0,135.0,135.0,135.0,135.0
Amager st,Private room,60,1.0,211.0,,211.0,211.0,211.0,211.0,211.0,211.0
Amager st,Shared room,2,1.0,2575.0,,2575.0,2575.0,2575.0,2575.0,2575.0,2575.0
Bispebjerg,Entire home/apt,1,66.0,869.6666666666666,427.9531726120487,340.0,600.0,750.0,1000.0,2500.0,1000.0
Bispebjerg,Entire home/apt,2,132.0,844.8636363636364,372.95823339675934,235.0,621.75,800.0,908.75,2850.0,900.0
Bispebjerg,Entire home/apt,3,123.0,968.4065040650406,620.9782847421355,339.0,629.5,790.0,1000.0,3799.0,700.0
Bispebjerg,Entire home/apt,4,71.0,881.6901408450705,406.98029406661857,313.0,609.5,800.0,994.5,2500.0,900.0
Bispebjerg,Entire home/apt,5,55.0,958.3090909090909,566.1611429007113,350.0,652.0,800.0,1197.0,3500.0,800.0
Bispebjerg,Entire home/apt,6,20.0,915.5,669.6203559126855,240.0,517.5,687.5,1100.0,3000.0,600.0
Bispebjerg,Entire home/apt,7,21.0,1163.5238095238096,941.6771537553418,465.0,751.0,950.0,1200.0,5000.0,1200.0
Bispebjerg,Entire home/apt,8,1.0,450.0,,450.0,450.0,450.0,450.0,450.0,450.0
Bispebjerg,Entire home/apt,9,1.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
Bispebjerg,Entire home/apt,10,6.0,807.3333333333334,349.4862896690894,495.0,512.25,699.5,1112.5,1250.0,495.0
Bispebjerg,Entire home/apt,11,1.0,1499.0,,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0
Bispebjerg,Entire home/apt,14,6.0,701.5,260.63134884353417,398.0,524.75,660.0,848.5,1100.0,398.0
Bispebjerg,Entire home/apt,20,3.0,550.0,180.27756377319946,400.0,450.0,500.0,625.0,750.0,400.0
Bispebjerg,Entire home/apt,21,1.0,400.0,,400.0,400.0,400.0,400.0,400.0,400.0
Bispebjerg,Entire home/apt,500,1.0,44000.0,,44000.0,44000.0,44000.0,44000.0,44000.0,44000.0
Bispebjerg,Private room,1,31.0,587.0645161290323,332.0470785379558,250.0,400.0,500.0,700.0,2000.0,400.0
Bispebjerg,Private room,2,22.0,501.72727272727275,175.35438452790447,260.0,397.75,487.0,593.5,1000.0,650.0
Bispebjerg,Private room,3,9.0,405.3333333333333,80.53570636680354,300.0,350.0,400.0,450.0,550.0,400.0
Bispebjerg,Private room,4,7.0,344.2857142857143,96.23879031817036,230.0,275.0,350.0,390.0,500.0,350.0
Bispebjerg,Private room,5,4.0,263.25,31.763448595306315,223.0,250.75,265.0,277.5,300.0,223.0
Bispebjerg,Private room,6,4.0,325.0,64.54972243679029,250.0,287.5,325.0,362.5,400.0,250.0
Bispebjerg,Private room,7,5.0,356.8,172.2024970782944,225.0,250.0,295.0,364.0,650.0,225.0
Bispebjerg,Private room,8,1.0,349.0,,349.0,349.0,349.0,349.0,349.0,349.0
Bispebjerg,Private room,10,1.0,3000.0,,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
Bispebjerg,Private room,12,1.0,448.0,,448.0,448.0,448.0,448.0,448.0,448.0
Bispebjerg,Private room,14,3.0,284.3333333333333,122.5003401355822,143.0,246.5,350.0,355.0,360.0,143.0
Bispebjerg,Private room,23,1.0,300.0,,300.0,300.0,300.0,300.0,300.0,300.0
Bispebjerg,Private room,25,1.0,250.0,,250.0,250.0,250.0,250.0,250.0,250.0
Bispebjerg,Private room,28,1.0,366.0,,366.0,366.0,366.0,366.0,366.0,366.0
Bispebjerg,Private room,30,4.0,363.75,6.701989754294367,357.0,358.5,364.0,369.25,370.0,357.0
